TransactionID,Item1,Item2,Item3
T94,Banana,Pineapple,Mango
T95,Orange,Lemon,Strawberry
T96,Tomato,Potato,Cucumber
T97,Apple,Grapes,Watermelon
T98,Carrot,Broccoli,Spinach
T99,Banana,Pineapple,Mango
T100,Orange,Lemon,Strawberry
T101,Tomato,Potato,Cucumber
T102,Apple,Grapes,Watermelon
T103,Carrot,Broccoli,Spinach
T104,Banana,Pineapple,Mango
T105,Orange,Lemon,Strawberry
T106,Tomato,Potato,Cucumber
T107,Apple,Grapes,Watermelon
T108,Carrot,Broccoli,Spinach
T109,Banana,Pineapple,Mango
T110,Orange,Lemon,Strawberry
T111,Tomato,Potato,Cucumber
T112,Apple,Grapes,Watermelon
T113,Carrot,Broccoli,Spinach
T114,Banana,Pineapple,Mango
T115,Orange,Lemon,Strawberry
T116,Tomato,Potato,Cucumber
T117,Apple,Grapes,Watermelon
T118,Carrot,Broccoli,Spinach
T119,Banana,Pineapple,Mango
T120,Orange,Lemon,Strawberry
T121,Tomato,Potato,Cucumber
T122,Apple,Grapes,Watermelon
T123,Carrot,Broccoli,Spinach
T124,Banana,Pineapple,Mango
T125,Orange,Lemon,Strawberry
T126,Tomato,Potato,Cucumber
T127,Apple,Grapes,Watermelon
T128,Carrot,Broccoli,Spinach
T129,Banana,Pineapple,Mango
T130,Orange,Lemon,Strawberry
T131,Tomato,Potato,Cucumber
T132,Apple,Grapes,Watermelon
T133,Carrot,Broccoli,Spinach
T134,Banana,Pineapple,Mango
T135,Orange,Lemon,Strawberry
T136,Tomato,Potato,Cucumber
T137,Apple,Grapes,Watermelon
T138,Carrot,Broccoli,Spinach
T139,Banana,Pineapple,Mango
T140,Orange,Lemon,Strawberry
T141,Tomato,Potato,Cucumber
T142,Apple,Grapes,Watermelon
T143,Carrot,Broccoli,Spinach
T144,Banana,Pineapple,Mango
T145,Orange,Lemon,Strawberry
T146,Tomato,Potato,Cucumber
T147,Apple,Grapes,Watermelon
T148,Carrot,Broccoli,Spinach
T149,Banana,Pineapple,Mango
T150,Orange,Lemon,Strawberry
T151,Tomato,Potato,Cucumber
T152,Apple,Grapes,Watermelon
T153,Carrot,Broccoli,Spinach
T154,Banana,Pineapple,Mango
T155,Orange,Lemon,Strawberry
T156,Tomato,Potato,Cucumber
T157,Apple,Grapes,Watermelon
T158,Carrot,Broccoli,Spinach
T159,Banana,Pineapple,Mango
T160,Orange,Lemon,Strawberry
T161,Tomato,Potato,Cucumber
T162,Apple,Grapes,Watermelon
T163,Carrot,Broccoli,Spinach
T164,Banana,Pineapple,Mango
T165,Orange,Lemon,Strawberry
T166,Tomato,Potato,Cucumber
T167,Apple,Grapes,Watermelon
T168,Carrot,Broccoli,Spinach
T169,Banana,Pineapple,Mango
T170,Orange,Lemon,Strawberry
T171,Tomato,Potato,Cucumber
T172,Apple,Grapes,Watermelon
T173,Carrot,Broccoli,Spinach
T174,Banana,Pineapple,Mango
T175,Orange,Lemon,Strawberry
T176,Tomato,Potato,Cucumber
T177,Apple,Grapes,Watermelon
T178,Carrot,Broccoli,Spinach
T179,Banana,Pineapple,Mango
T180,Orange,Lemon,Strawberry
T181,Tomato,Potato,Cucumber
T182,Apple,Grapes,Watermelon
T183,Carrot,Broccoli,Spinach
T184,Banana,Pineapple,Mango
T185,Orange,Lemon,Strawberry
T186,Tomato,Potato,Cucumber
T187,Apple,Grapes,Watermelon
T188,Carrot,Broccoli,Spinach
T189,Banana,Pineapple,Mango
T190,Orange,Lemon,Strawberry
T191,Tomato,Potato,Cucumber
T192,Apple,Grapes,Watermelon
T193,Carrot,Broccoli,Spinach
T194,Banana,Pineapple,Mango
T195,Orange,Lemon,Strawberry
T196,Tomato,Potato,Cucumber
T197,Apple,Grapes,Watermelon
T198,Carrot,Broccoli,Spinach
T199,Banana,Pineapple,Mango
T200,Orange,Lemon,Strawberry
T201,Tomato,Potato,Cucumber
T202,Apple,Grapes,Watermelon
T203,Carrot,Broccoli,Spinach
T204,Banana,Pineapple,Mango
T205,Orange,Lemon,Strawberry
T206,Tomato,Potato,Cucumber
T207,Apple,Grapes,Watermelon
T208,Carrot,Broccoli,Spinach
T209,Banana,Pineapple,Mango
T210,Orange,Lemon,Strawberry
T211,Tomato,Potato,Cucumber
T212,Apple,Grapes,Watermelon
T213,Carrot,Broccoli,Spinach
T214,Banana,Pineapple,Mango
T215,Orange,Lemon,Strawberry
T216,Tomato,Potato,Cucumber
T217,Apple,Grapes,Watermelon
T218,Carrot,Broccoli,Spinach
T219,Banana,Pineapple,Mango
T220,Orange,Lemon,Strawberry
T221,Tomato,Potato,Cucumber
T222,Apple,Grapes,Watermelon
T223,Carrot,Broccoli,Spinach
T224,Banana,Pineapple,Mango
T225,Orange,Lemon,Strawberry
T226,Tomato,Potato,Cucumber
T227,Apple,Grapes,Watermelon
T228,Carrot,Broccoli,Spinach
T229,Banana,Pineapple,Mango
T230,Orange,Lemon,Strawberry
T231,Tomato,Potato,Cucumber
T232,Apple,Grapes,Watermelon
T233,Carrot,Broccoli,Spinach
T234,Banana,Pineapple,Mango
T235,Orange,Lemon,Strawberry
T236,Tomato,Potato,Cucumber
T237,Apple,Grapes,Watermelon
T238,Carrot,Broccoli,Spinach
T239,Banana,Pineapple,Mango
T240,Orange,Lemon,Strawberry
T241,Tomato,Potato,Cucumber
T242,Apple,Grapes,Watermelon
T243,Carrot,Broccoli,Spinach
T244,Banana,Pineapple,Mango
T245,Orange,Lemon,Strawberry
T246,Tomato,Potato,Cucumber
T247,Apple,Grapes,Watermelon
T248,Carrot,Broccoli,Spinach
T249,Banana,Pineapple,Mango
T250,Orange,Lemon,Strawberry
T251,Tomato,Potato,Cucumber
T252,Apple,Grapes,Watermelon
T253,Carrot,Broccoli,Spinach
T254,Banana,Pineapple,Mango
T255,Orange,Lemon,Strawberry
T256,Tomato,Potato,Cucumber
T257,Apple,Grapes,Watermelon
T258,Carrot,Broccoli,Spinach
T259,Banana,Pineapple,Mango
T260,Orange,Lemon,Strawberry
T261,Tomato,Potato,Cucumber
T262,Apple,Grapes,Watermelon
T263,Carrot,Broccoli,Spinach
T264,Banana,Pineapple,Mango
T265,Orange,Lemon,Strawberry
T266,Tomato,Potato,Cucumber
T267,Apple,Grapes,Watermelon
T268,Carrot,Broccoli,Spinach
T269,Banana,Pineapple,Mango
T270,Orange,Lemon,Strawberry
T271,Tomato,Potato,Cucumber
T272,Apple,Grapes,Watermelon
T273,Carrot,Broccoli,Spinach
T274,Banana,Pineapple,Mango
T275,Orange,Lemon,Strawberry
T276,Tomato,Potato,Cucumber
T277,Apple,Grapes,Watermelon
T278,Carrot,Broccoli,Spinach
T279,Banana,Pineapple,Mango
T280,Orange,Lemon,Strawberry
T281,Tomato,Potato,Cucumber
T282,Apple,Grapes,Watermelon
T283,Carrot,Broccoli,Spinach
T284,Banana,Pineapple,Mango
T285,Orange,Lemon,Strawberry
T286,Tomato,Potato,Cucumber
T287,Apple,Grapes,Watermelon
T288,Carrot,Broccoli,Spinach
T289,Banana,Pineapple,Mango
T290,Orange,Lemon,Strawberry
T291,Tomato,Potato,Cucumber
T292,Apple,Grapes,Watermelon
T293,Carrot,Broccoli,Spinach
T294,Banana,Pineapple,Mango
T295,Orange,Lemon,Strawberry
T296,Tomato,Potato,Cucumber
T297,Apple,Grapes,Watermelon
T298,Carrot,Broccoli,Spinach
T299,Banana,Pineapple,Mango
T300,Orange,Lemon,Strawberry
T301,Tomato,Potato,Cucumber
T302,Apple,Grapes,Watermelon
T303,Carrot,Broccoli,Spinach
T304,Banana,Pineapple,Mango
T305,Orange,Lemon,Strawberry
T306,Tomato,Potato,Cucumber
T307,Apple,Grapes,Watermelon
T308,Carrot,Broccoli,Spinach
T309,Banana,Pineapple,Mango
T310,Orange,Lemon,Strawberry
T311,Tomato,Potato,Cucumber
T312,Apple,Grapes,Watermelon
T313,Carrot,Broccoli,Spinach
T314,Banana,Pineapple,Mango
T315,Orange,Lemon,Strawberry
T316,Tomato,Potato,Cucumber
T317,Apple,Grapes,Watermelon
T318,Carrot,Broccoli,Spinach
T319,Banana,Pineapple,Mango
T320,Orange,Lemon,Strawberry
T321,Tomato,Potato,Cucumber
T322,Apple,Grapes,Watermelon
T323,Carrot,Broccoli,Spinach
T324,Banana,Pineapple,Mango
T325,Orange,Lemon,Strawberry
T326,Tomato,Potato,Cucumber
T327,Apple,Grapes,Watermelon
T328,Carrot,Broccoli,Spinach
T329,Banana,Pineapple,Mango
T330,Orange,Lemon,Strawberry
T331,Tomato,Potato,Cucumber
T332,Apple,Grapes,Watermelon
T333,Carrot,Broccoli,Spinach
T334,Banana,Pineapple,Mango
T335,Orange,Lemon,Strawberry
T336,Tomato,Potato,Cucumber
T337,Apple,Grapes,Watermelon
T338,Carrot,Broccoli,Spinach
T339,Banana,Pineapple,Mango
T340,Orange,Lemon,Strawberry
T341,Tomato,Potato,Cucumber
T342,Apple,Grapes,Watermelon
T343,Carrot,Broccoli,Spinach
T344,Banana,Pineapple,Mango
T345,Orange,Lemon,Strawberry
T346,Tomato,Potato,Cucumber
T347,Apple,Grapes,Watermelon
T348,Carrot,Broccoli,Spinach
T349,Banana,Pineapple,Mango
T350,Orange,Lemon,Strawberry
T351,Tomato,Potato,Cucumber
T352,Apple,Grapes,Watermelon
T353,Carrot,Broccoli,Spinach
T354,Banana,Pineapple,Mango
T355,Orange,Lemon,Strawberry
T356,Tomato,Potato,Cucumber
T357,Apple,Grapes,Watermelon
T358,Carrot,Broccoli,Spinach
T359,Banana,Pineapple,Mango
T360,Orange,Lemon,Strawberry
T361,Tomato,Potato,Cucumber
T362,Apple,Grapes,Watermelon
T363,Carrot,Broccoli,Spinach
T364,Banana,Pineapple,Mango
T365,Orange,Lemon,Strawberry
T366,Tomato,Potato,Cucumber
T367,Apple,Grapes,Watermelon
T368,Carrot,Broccoli,Spinach
T369,Banana,Pineapple,Mango
T370,Orange,Lemon,Strawberry
T371,Tomato,Potato,Cucumber
T372,Apple,Grapes,Watermelon
T373,Carrot,Broccoli,Spinach
T374,Banana,Pineapple,Mango
T375,Orange,Lemon,Strawberry
T376,Tomato,Potato,Cucumber
T377,Apple,Grapes,Watermelon
T378,Carrot,Broccoli,Spinach
T379,Banana,Pineapple,Mango
T380,Orange,Lemon,Strawberry
T381,Tomato,Potato,Cucumber
T382,Apple,Grapes,Watermelon
T383,Carrot,Broccoli,Spinach
T384,Banana,Pineapple,Mango
T385,Orange,Lemon,Strawberry
T386,Tomato,Potato,Cucumber
T387,Apple,Grapes,Watermelon
T388,Carrot,Broccoli,Spinach
T389,Banana,Pineapple,Mango
T390,Orange,Lemon,Strawberry
T391,Tomato,Potato,Cucumber
T392,Apple,Grapes,Watermelon
T393,Carrot,Broccoli,Spinach
T394,Banana,Pineapple,Mango
T395,Orange,Lemon,Strawberry
T396,Tomato,Potato,Cucumber
T397,Apple,Grapes,Watermelon
T398,Carrot,Broccoli,Spinach
T399,Banana,Pineapple,Mango
T400,Orange,Lemon,Strawberry
T401,Tomato,Potato,Cucumber
T402,Apple,Grapes,Watermelon
T403,Carrot,Broccoli,Spinach
T404,Banana,Pineapple,Mango
T405,Orange,Lemon,Strawberry
T406,Tomato,Potato,Cucumber
T407,Apple,Grapes,Watermelon
T408,Carrot,Broccoli,Spinach
T409,Banana,Pineapple,Mango
T410,Orange,Lemon,Strawberry
T411,Tomato,Potato,Cucumber
T412,Apple,Grapes,Watermelon
T413,Carrot,Broccoli,Spinach
T414,Banana,Pineapple,Mango
T415,Orange,Lemon,Strawberry
T416,Tomato,Potato,Cucumber
T417,Apple,Grapes,Watermelon
T418,Carrot,Broccoli,Spinach
T419,Banana,Pineapple,Mango
T420,Orange,Lemon,Strawberry
T421,Tomato,Potato,Cucumber
T422,Apple,Grapes,Watermelon
T423,Carrot,Broccoli,Spinach
T424,Banana,Pineapple,Mango
T425,Orange,Lemon,Strawberry
T426,Tomato,Potato,Cucumber
T427,Apple,Grapes,Watermelon
T428,Carrot,Broccoli,Spinach
T429,Banana,Pineapple,Mango
T430,Orange,Lemon,Strawberry
T431,Tomato,Potato,Cucumber
T432,Apple,Grapes,Watermelon
T433,Carrot,Broccoli,Spinach
T434,Banana,Pineapple,Mango
T435,Orange,Lemon,Strawberry
T436,Tomato,Potato,Cucumber
T437,Apple,Grapes,Watermelon
T438,Carrot,Broccoli,Spinach
T439,Banana,Pineapple,Mango
T440,Orange,Lemon,Strawberry
T441,Tomato,Potato,Cucumber
T442,Apple,Grapes,Watermelon
T443,Carrot,Broccoli,Spinach
T444,Banana,Pineapple,Mango
T445,Orange,Lemon,Strawberry
T446,Tomato,Potato,Cucumber
T447,Apple,Grapes,Watermelon
T448,Carrot,Broccoli,Spinach
T449,Banana,Pineapple,Mango
T450,Orange,Lemon,Strawberry
T451,Tomato,Potato,Cucumber
T452,Apple,Grapes,Watermelon
T453,Carrot,Broccoli,Spinach
T454,Banana,Pineapple,Mango
T455,Orange,Lemon,Strawberry
T456,Tomato,Potato,Cucumber
T457,Apple,Grapes,Watermelon
T458,Carrot,Broccoli,Spinach
T459,Banana,Pineapple,Mango
T460,Orange,Lemon,Strawberry
T461,Tomato,Potato,Cucumber
T462,Apple,Grapes,Watermelon
T463,Carrot,Broccoli,Spinach
T464,Banana,Pineapple,Mango
T465,Orange,Lemon,Strawberry
T466,Tomato,Potato,Cucumber
T467,Apple,Grapes,Watermelon
T468,Carrot,Broccoli,Spinach
T469,Banana,Pineapple,Mango
T470,Orange,Lemon,Strawberry
T471,Tomato,Potato,Cucumber
T472,Apple,Grapes,Watermelon
T473,Carrot,Broccoli,Spinach
T474,Banana,Pineapple,Mango
T475,Orange,Lemon,Strawberry
T476,Tomato,Potato,Cucumber
T477,Apple,Grapes,Watermelon
T478,Carrot,Broccoli,Spinach
T479,Banana,Pineapple,Mango
T480,Orange,Lemon,Strawberry
T481,Tomato,Potato,Cucumber
T482,Apple,Grapes,Watermelon
T483,Carrot,Broccoli,Spinach
T484,Banana,Pineapple,Mango
T485,Orange,Lemon,Strawberry
T486,Tomato,Potato,Cucumber
T487,Apple,Grapes,Watermelon
T488,Carrot,Broccoli,Spinach
T489,Banana,Pineapple,Mango
T490,Orange,Lemon,Strawberry
T491,Tomato,Potato,Cucumber
T492,Apple,Grapes,Watermelon
T493,Carrot,Broccoli,Spinach
T494,Banana,Pineapple,Mango
T495,Orange,Lemon,Strawberry
T496,Tomato,Potato,Cucumber
T497,Apple,Grapes,Watermelon
T498,Carrot,Broccoli,Spinach
T499,Banana,Pineapple,Mango
T500,Orange,Lemon,Strawberry
T501,Tomato,Potato,Cucumber
T502,Apple,Grapes,Watermelon
T503,Carrot,Broccoli,Spinach
T504,Banana,Pineapple,Mango
T505,Orange,Lemon,Strawberry
T506,Tomato,Potato,Cucumber
T507,Apple,Grapes,Watermelon
T508,Carrot,Broccoli,Spinach
T509,Banana,Pineapple,Mango
T510,Orange,Lemon,Strawberry
T511,Tomato,Potato,Cucumber
T512,Apple,Grapes,Watermelon
T513,Carrot,Broccoli,Spinach
T514,Banana,Pineapple,Mango
T515,Orange,Lemon,Strawberry
T516,Tomato,Potato,Cucumber
T517,Apple,Grapes,Watermelon
T518,Carrot,Broccoli,Spinach
T519,Banana,Pineapple,Mango
T520,Orange,Lemon,Strawberry
T521,Tomato,Potato,Cucumber
T522,Apple,Grapes,Watermelon
T523,Carrot,Broccoli,Spinach
T524,Banana,Pineapple,Mango
T525,Orange,Lemon,Strawberry
T526,Tomato,Potato,Cucumber
T527,Apple,Grapes,Watermelon
T528,Carrot,Broccoli,Spinach
T529,Banana,Pineapple,Mango
T530,Orange,Lemon,Strawberry
T531,Tomato,Potato,Cucumber
T532,Apple,Grapes,Watermelon
T533,Carrot,Broccoli,Spinach
T534,Banana,Pineapple,Mango
T535,Orange,Lemon,Strawberry
T536,Tomato,Potato,Cucumber
T537,Apple,Grapes,Watermelon
T538,Carrot,Broccoli,Spinach
T539,Banana,Pineapple,Mango
T540,Orange,Lemon,Strawberry
T541,Tomato,Potato,Cucumber
T542,Apple,Grapes,Watermelon
T543,Carrot,Broccoli,Spinach
T544,Banana,Pineapple,Mango
T545,Orange,Lemon,Strawberry
T546,Tomato,Potato,Cucumber
T547,Apple,Grapes,Watermelon
T548,Carrot,Broccoli,Spinach
T549,Banana,Pineapple,Mango
T550,Orange,Lemon,Strawberry
T551,Tomato,Potato,Cucumber
T552,Apple,Grapes,Watermelon
T553,Carrot,Broccoli,Spinach
T554,Banana,Pineapple,Mango
T555,Orange,Lemon,Strawberry
T556,Tomato,Potato,Cucumber
T557,Apple,Grapes,Watermelon
T558,Carrot,Broccoli,Spinach
T559,Banana,Pineapple,Mango
T560,Orange,Lemon,Strawberry
T561,Tomato,Potato,Cucumber
T562,Apple,Grapes,Watermelon
T563,Carrot,Broccoli,Spinach
T564,Banana,Pineapple,Mango
T565,Orange,Lemon,Strawberry
T566,Tomato,Potato,Cucumber
T567,Apple,Grapes,Watermelon
T568,Carrot,Broccoli,Spinach
T569,Banana,Pineapple,Mango
T570,Orange,Lemon,Strawberry
T571,Tomato,Potato,Cucumber
T572,Apple,Grapes,Watermelon
T573,Carrot,Broccoli,Spinach
T574,Banana,Pineapple,Mango
T575,Orange,Lemon,Strawberry
T576,Tomato,Potato,Cucumber
T577,Apple,Grapes,Watermelon
T578,Carrot,Broccoli,Spinach
T579,Banana,Pineapple,Mango
T580,Orange,Lemon,Strawberry
T581,Tomato,Potato,Cucumber
T582,Apple,Grapes,Watermelon
T583,Carrot,Broccoli,Spinach
T584,Banana,Pineapple,Mango
T585,Orange,Lemon,Strawberry
T586,Tomato,Potato,Cucumber
T587,Apple,Grapes,Watermelon
T588,Carrot,Broccoli,Spinach
T589,Banana,Pineapple,Mango
T590,Orange,Lemon,Strawberry
T591,Tomato,Potato,Cucumber
T592,Apple,Grapes,Watermelon
T593,Carrot,Broccoli,Spinach
T594,Banana,Pineapple,Mango
T595,Orange,Lemon,Strawberry
T596,Tomato,Potato,Cucumber
T597,Apple,Grapes,Watermelon
T598,Carrot,Broccoli,Spinach
T599,Banana,Pineapple,Mango
T600,Orange,Lemon,Strawberry
T601,Tomato,Potato,Cucumber
T602,Apple,Grapes,Watermelon
T603,Carrot,Broccoli,Spinach
T604,Banana,Pineapple,Mango
T605,Orange,Lemon,Strawberry
T606,Tomato,Potato,Cucumber
T607,Apple,Grapes,Watermelon
T608,Carrot,Broccoli,Spinach
T609,Banana,Pineapple,Mango
T610,Orange,Lemon,Strawberry
T611,Tomato,Potato,Cucumber
T612,Apple,Grapes,Watermelon
T613,Carrot,Broccoli,Spinach
T614,Banana,Pineapple,Mango
T615,Orange,Lemon,Strawberry
T616,Tomato,Potato,Cucumber
T617,Apple,Grapes,Watermelon
T618,Carrot,Broccoli,Spinach
T619,Banana,Pineapple,Mango
T620,Orange,Lemon,Strawberry
T621,Tomato,Potato,Cucumber
T622,Apple,Grapes,Watermelon
T623,Carrot,Broccoli,Spinach
T624,Banana,Pineapple,Mango
T625,Orange,Lemon,Strawberry
T626,Tomato,Potato,Cucumber
T627,Apple,Grapes,Watermelon
T628,Carrot,Broccoli,Spinach
T629,Banana,Pineapple,Mango
T630,Orange,Lemon,Strawberry
T631,Tomato,Potato,Cucumber
T632,Apple,Grapes,Watermelon
T633,Carrot,Broccoli,Spinach
T634,Banana,Pineapple,Mango
T635,Orange,Lemon,Strawberry
T636,Tomato,Potato,Cucumber
T637,Apple,Grapes,Watermelon
T638,Carrot,Broccoli,Spinach
T639,Banana,Pineapple,Mango
T640,Orange,Lemon,Strawberry
T641,Tomato,Potato,Cucumber
T642,Apple,Grapes,Watermelon
T643,Carrot,Broccoli,Spinach
T644,Banana,Pineapple,Mango
T645,Orange,Lemon,Strawberry
T646,Tomato,Potato,Cucumber
T647,Apple,Grapes,Watermelon
T648,Carrot,Broccoli,Spinach
T649,Banana,Pineapple,Mango
T650,Orange,Lemon,Strawberry
T651,Tomato,Potato,Cucumber
T652,Apple,Grapes,Watermelon
T653,Carrot,Broccoli,Spinach
T654,Banana,Pineapple,Mango
T655,Orange,Lemon,Strawberry
T656,Tomato,Potato,Cucumber
T657,Apple,Grapes,Watermelon
T658,Carrot,Broccoli,Spinach
T659,Banana,Pineapple,Mango
T660,Orange,Lemon,Strawberry
T661,Tomato,Potato,Cucumber
T662,Apple,Grapes,Watermelon
T663,Carrot,Broccoli,Spinach
T664,Banana,Pineapple,Mango
T665,Orange,Lemon,Strawberry
T666,Tomato,Potato,Cucumber
T667,Apple,Grapes,Watermelon
T668,Carrot,Broccoli,Spinach
T669,Banana,Pineapple,Mango
T670,Orange,Lemon,Strawberry
T671,Tomato,Potato,Cucumber
T672,Apple,Grapes,Watermelon
T673,Carrot,Broccoli,Spinach
T674,Banana,Pineapple,Mango
T675,Orange,Lemon,Strawberry
T676,Tomato,Potato,Cucumber
T677,Apple,Grapes,Watermelon
T678,Carrot,Broccoli,Spinach
T679,Banana,Pineapple,Mango
T680,Orange,Lemon,Strawberry
T681,Tomato,Potato,Cucumber
T682,Apple,Grapes,Watermelon
T683,Carrot,Broccoli,Spinach
T684,Banana,Pineapple,Mango
T685,Orange,Lemon,Strawberry
T686,Tomato,Potato,Cucumber
T687,Apple,Grapes,Watermelon
T688,Carrot,Broccoli,Spinach
T689,Banana,Pineapple,Mango
T690,Orange,Lemon,Strawberry
T691,Tomato,Potato,Cucumber
T692,Apple,Grapes,Watermelon
T693,Carrot,Broccoli,Spinach
T694,Banana,Pineapple,Mango
T695,Orange,Lemon,Strawberry
T696,Tomato,Potato,Cucumber
T697,Apple,Grapes,Watermelon
T698,Carrot,Broccoli,Spinach
T699,Banana,Pineapple,Mango
T700,Orange,Lemon,Strawberry
T701,Tomato,Potato,Cucumber
T702,Apple,Grapes,Watermelon
T703,Carrot,Broccoli,Spinach
T704,Banana,Pineapple,Mango
T705,Orange,Lemon,Strawberry
T706,Tomato,Potato,Cucumber
T707,Apple,Grapes,Watermelon
T708,Carrot,Broccoli,Spinach
T709,Banana,Pineapple,Mango
T710,Orange,Lemon,Strawberry
T711,Tomato,Potato,Cucumber
T712,Apple,Grapes,Watermelon
T713,Carrot,Broccoli,Spinach
T714,Banana,Pineapple,Mango
T715,Orange,Lemon,Strawberry
T716,Tomato,Potato,Cucumber
T717,Apple,Grapes,Watermelon
T718,Carrot,Broccoli,Spinach
T719,Banana,Pineapple,Mango
T720,Orange,Lemon,Strawberry
T721,Tomato,Potato,Cucumber
T722,Apple,Grapes,Watermelon
T723,Carrot,Broccoli,Spinach
T724,Banana,Pineapple,Mango
T725,Orange,Lemon,Strawberry
T726,Tomato,Potato,Cucumber
T727,Apple,Grapes,Watermelon
T728,Carrot,Broccoli,Spinach
T729,Banana,Pineapple,Mango
T730,Orange,Lemon,Strawberry
T731,Tomato,Potato,Cucumber
T732,Apple,Grapes,Watermelon
T733,Carrot,Broccoli,Spinach
T734,Banana,Pineapple,Mango
T735,Orange,Lemon,Strawberry
T736,Tomato,Potato,Cucumber
T737,Apple,Grapes,Watermelon
T738,Carrot,Broccoli,Spinach
T739,Banana,Pineapple,Mango
T740,Orange,Lemon,Strawberry
T741,Tomato,Potato,Cucumber
T742,Apple,Grapes,Watermelon
T743,Carrot,Broccoli,Spinach
T744,Banana,Pineapple,Mango
T745,Orange,Lemon,Strawberry
T746,Tomato,Potato,Cucumber
T747,Apple,Grapes,Watermelon
T748,Carrot,Broccoli,Spinach
T749,Banana,Pineapple,Mango
T750,Orange,Lemon,Strawberry
T751,Tomato,Potato,Cucumber
T752,Apple,Grapes,Watermelon
T753,Carrot,Broccoli,Spinach
T754,Banana,Pineapple,Mango
T755,Orange,Lemon,Strawberry
T756,Tomato,Potato,Cucumber
T757,Apple,Grapes,Watermelon
T758,Carrot,Broccoli,Spinach
T759,Banana,Pineapple,Mango
T760,Orange,Lemon,Strawberry
T761,Tomato,Potato,Cucumber
T762,Apple,Grapes,Watermelon
T763,Carrot,Broccoli,Spinach
T764,Banana,Pineapple,Mango
T765,Orange,Lemon,Strawberry
T766,Tomato,Potato,Cucumber
T767,Apple,Grapes,Watermelon
T768,Carrot,Broccoli,Spinach
T769,Banana,Pineapple,Mango
T770,Orange,Lemon,Strawberry
T771,Tomato,Potato,Cucumber
T772,Apple,Grapes,Watermelon
T773,Carrot,Broccoli,Spinach
T774,Banana,Pineapple,Mango
T775,Orange,Lemon,Strawberry
